text,id,from_user,iso_language_code
RT @CBCNews: Boston bombing suspect caught on surveillance video: In what could be a major break in the Boston Marathon cas... http://t.co/aWU2jb4bcW,324799030859280384,Lynn__ox,en
RT @msnbc: FBI wants citizens to call 1-800-CALL-FBI if they recognize the suspects http://t.co/HuYzzU9LWh #BostonMarathon,325059351209443329,RobPoeKY,en
RT @msnbc: FBI wants citizens to call 1-800-CALL-FBI if they recognize the suspects http://t.co/HuYzzU9LWh #BostonMarathon,325059374814994434,OMoriarty,en
RT @msnbc: FBI wants citizens to call 1-800-CALL-FBI if they recognize the suspects http://t.co/HuYzzU9LWh #BostonMarathon,325059598488829953,mobrien100,en
RT @msnbc: FBI wants citizens to call 1-800-CALL-FBI if they recognize the suspects http://t.co/HuYzzU9LWh #BostonMarathon,325059948511899648,VenturaOlvera,en
RT @msnbc: FBI wants citizens to call 1-800-CALL-FBI if they recognize the suspects http://t.co/HuYzzU9LWh #BostonMarathon,325059996704452608,ValntineXJack,en
RT @todayshow: Boston Marathon runner who escaped bombing unscathed also witnessed Texas plant explosion http://t.co/MNEz88LApc,325060138891350016,BrownYasmine,en
RT @SullyCNBC: 'I feel blessed': Boston Marathon runner who escaped bombing unscathed also witnessed Texas plant explosion http://t.co/yBxu0kCj3Q” // WOW,325060145082163200,FredBoness,en
RT @NBCNews: 'I feel blessed': Boston Marathon runner who escaped bombing unscathed also witnessed Texas plant explosion http://t.co/rp1TKhEUyB,325060154087309312,_kargar,en
RT @NBCNews: 'I feel blessed': Boston Marathon runner who escaped bombing unscathed also witnessed Texas plant explosion http://t.co/rp1TKhEUyB,325060324992643072,JohnBorsa,en
RT @msnbc: FBI wants citizens to call 1-800-CALL-FBI if they recognize the suspects http://t.co/HuYzzU9LWh #BostonMarathon,325060608246562816,DTAD,en
"RT @chrisgb00: ""@NBCNews 'I feel blessed': Boston Marathon runner who escaped bombing unscathed also witnessed Texas plant explosion http://t.co/awTKpn7Khb",325060826346184707,CNNCNY,en
RT @msnbc: FBI wants citizens to call 1-800-CALL-FBI if they recognize the suspects http://t.co/HuYzzU9LWh #BostonMarathon,325061078994284544,MikeAndTheMouse,en
"RT @sirdavidD: My heart is broken for the people of Boston, this is unreal. praying for peace, restoration, and JUSTICE. #BostonMarathon",325063081929629696,ilovekatybird_1,en
RT @msnbc: FBI wants citizens to call 1-800-CALL-FBI if they recognize the suspects http://t.co/HuYzzU9LWh #BostonMarathon,325063478140346370,JasonTM13,en
"Boston Marathon bomber: One suspect dead, second on the run, police say | The Lookout - Yahoo! News http://t.co/s2fHOqSw7a via @YahooNews",325162944931438592,MegaDeuce02,en
"Boston Marathon bomber manhunt: One suspect dead, second on the run, police say | The Lookout - Yahoo! News http://t.co/zGQpCc9TvY",325163043233337344,JessicaAI11,en
"Boston Marathon bomber manhunt: One suspect dead, second on the run, police say
 http://t.co/j4gMRuRZVZ",325165164561330176,zombiegirrrrl,en
"Boston Marathon bomber manhunt: One suspect dead, second on the run, The Lookout - Yahoo! News http://t.co/x0mAHklyDU via @YahooNews",325166486215856129,tze_21,en
"Boston Marathon bomber manhunt: One suspect dead, second on the run, police say | The Lookout - Yahoo! News http://t.co/rEYFwrJg43",325170591164403712,akk9s,en
"Boston Marathon bomber manhunt: One suspect dead, second on the run, police say | The Lookout - Yahoo! News http://t.co/rR66pYCG0M",325170934115864576,TerpNC,en
"Boston Marathon bomber manhunt: One suspect dead, second on the run, police say | The Lookout - Yahoo! News http://t.co/ltk5fU7zCc via Yahoo",325171288526163968,GRIND_NONSTOP,en
"Boston Marathon bomber manhunt: One suspect dead, second on the run, police say | The Lookout - http://t.co/QpYfUS826K via @YahooNews",325171606253080577,IamJustMickey,en
"#BostonMarathon bomber manhunt: One suspect dead, second on the run, police say http://t.co/Ov2Kq94qgA via @YahooNews",325172960413503489,srivatsan316,en
"Boston Marathon bomber manhunt: One suspect dead, second on the run, police say | kout - Yahoo! News http://t.co/8w6c1nljb9 via @YahooNews",325173634563964929,p_ayushi,en
"Boston Marathon bomber manhunt: One suspect dead, second on the run | The Lookout - Yahoo! News http://t.co/yXmz3JwYMX via @YahooNews",325175391654408192,Taveras916,en
"Boston Marathon bomber manhunt: One suspect dead, second on the run, police say | http://t.co/0WXzOS56pC via @YahooNews",325176378595102720,marshall_gail,en
"Boston Marathon bomber manhunt: One suspect dead, second on the run, police say |  http://t.co/MfcWutet4b via @YahooNews",325178436660375552,LeeM247,en
"RT @Boston_Police: #WANTED: Police seeking MA Plate: 316-ES9, ’99 Honda CRV, Color - Gray. Possible suspect car. Do not approach. http://t.co/11eRTJdtaZ",325253327048822784,auzdawg,en
"RT @Boston_Police: #WANTED: Police seeking MA Plate: 316-ES9, ’99 Honda CRV, Color - Gray. Possible suspect car. Do not approach. http://t.co/11eRTJdtaZ",325253327640223744,JRILEY44,en
"RT @Boston_Police: #WANTED: Police seeking MA Plate: 316-ES9, ’99 Honda CRV, Color - Gray. Possible suspect car. Do not approach. http://t.co/11eRTJdtaZ",325253669408874496,KetchB,en
"RT @Boston_Police: #WANTED: Police seeking MA Plate: 316-ES9, ’99 Honda CRV, Color - Gray. Possible suspect car. Do not approach. http://t.co/11eRTJdtaZ",325253670746849280,eeyandelacruz,en
"RT @Boston_Police: #WANTED: Police seeking MA Plate: 316-ES9, ’99 Honda CRV, Color - Gray. Possible suspect car. Do not approach. http://t.co/11eRTJdtaZ",325253670780416000,CoachWeston11,en
"RT @Boston_Police: #WANTED: Police seeking MA Plate: 316-ES9, ’99 Honda CRV, Color - Gray. Possible suspect car. Do not approach. http://t.co/11eRTJdtaZ",325254353877352448,erose19,en
"Marathon bomb suspect eludes police, hunt shuts Boston down http://t.co/Mz5BNSTjxR | Reuters #news",325329802032721920,iNews24,en
"Marathon bomb suspect eludes police, hunt shuts Boston down - Reuters http://t.co/0oBRV4CqfP",325335253487063041,autoinsuranceus,en
"Marathon bomb suspect eludes police, hunt shuts Boston down - Reuters: ABC NewsMarathon bomb suspect eludes po... http://t.co/aCtHzJ6a34",325337623910559745,KamalNath10,en
"Marathon bomb suspect eludes police, hunt shuts Boston down - Reuters: ABC NewsMarathon bomb suspect eludes po... http://t.co/LQhNtNmM5r",325337627857387521,SonaliSharma48,en
"Marathon bomb suspect eludes police, hunt shuts Boston down - Reuters: ABC NewsMarathon bomb suspect eludes po... http://t.co/ctsVVdPz3R",325337640322871296,UttamDey7,en
"Marathon bomb suspect eludes police, hunt shuts Boston down http://t.co/rELY860TTb",325338650076405761,firstpostin,en
